"cell.type","nt1","soma.loc","wa.lin","wa.des","expression","gene"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",93.73,"avr-14"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",117.988,"avr-15"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",99.946,"glc-4"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",147.133,"unc-9"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",105.039,"ben-1"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",93.141,"tbb-1"
"ADA","Glutamate (Glu)","Head","AB plapaaaapp","Ring interneuron",269.513,"tbb-2"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",108.734,"avr-14"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",35.847,"glc-3"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",15.518,"glc-4"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",114.355,"unc-7"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",82.635,"unc-9"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",388.301,"ben-1"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",89.712,"tbb-1"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",1889.814,"tbb-2"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",101.14,"tbb-4"
"ADE","Dopamine (DA)","Head","AB plapaaaapa","Anterior deirid, sensory neuron",58.035,"tbb-6"
"ADF","Acetylcholine (ACh)","Head","AB alpppppaa","Amphid neuron",64.586,"avr-14"
"ADF","Acetylcholine (ACh)","Head","AB alpppppaa","Amphid neuron",7.155,"glc-4"
"ADF","Acetylcholine (ACh)","Head","AB alpppppaa","Amphid neuron",61.829,"tbb-1"
"ADF","Acetylcholine (ACh)","Head","AB alpppppaa","Amphid neuron",276.717,"tbb-2"
"ADF","Acetylcholine (ACh)","Head","AB alpppppaa","Amphid neuron",168.005,"tbb-4"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",22.812,"avr-14"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",3.571,"glc-4"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",18.57,"unc-7"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",98.807,"tbb-1"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",224.35,"tbb-2"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",113.266,"tbb-4"
"ADL","Glutamate (Glu)","Head","AB alppppaad","Amphid neuron",63.21,"tbb-6"
