strain,condition,generation,replicate,allele_freq
ECA882,DMSO,1,1,0.398286938
ECA882,IVM,1,1,0.266378066
ECA882,DMSO,3,1,0.443875061
ECA882,IVM,3,1,0.12401104
ECA882,DMSO,5,1,NULL
ECA882,IVM,5,1,0.027894257
ECA882,DMSO,7,1,0.407836153
ECA882,IVM,7,1,0.068459254
ECA882,DMSO,1,2,0.239298608
ECA882,IVM,1,2,0.354916067
ECA882,DMSO,3,2,0.328990228
ECA882,IVM,3,2,0.085506627
ECA882,DMSO,5,2,0.288175411
ECA882,IVM,5,2,0.072863568
ECA882,DMSO,7,2,0.352791878
ECA882,IVM,7,2,NULL
ECA882,DMSO,1,3,0.370584653
ECA882,IVM,1,3,0.459117456
ECA882,DMSO,3,3,0.465943601
ECA882,IVM,3,3,0.457366589
ECA882,DMSO,5,3,0.451038576
ECA882,IVM,5,3,0.111298482
ECA882,DMSO,7,3,0.507197697
ECA882,IVM,7,3,NULL
ECA882,DMSO,1,4,0.424206111
ECA882,IVM,1,4,0.379585327
ECA882,DMSO,3,4,0.474174428
ECA882,IVM,3,4,0.214242424
ECA882,DMSO,5,4,0.504806443
ECA882,IVM,5,4,0.341445563
ECA882,DMSO,7,4,0.528605201
ECA882,IVM,7,4,0.467816092
ECA882,DMSO,1,5,0.46539712
ECA882,IVM,1,5,0.355161787
ECA882,DMSO,3,5,0.323671498
ECA882,IVM,3,5,0.298102981
ECA882,DMSO,5,5,0.427009295
ECA882,IVM,5,5,0.09215396
ECA882,DMSO,7,5,0.37264405
ECA882,IVM,7,5,0.249718785
ECA882,DMSO,1,6,0.434437086
ECA882,IVM,1,6,NULL
ECA882,DMSO,3,6,0.444680851
ECA882,IVM,3,6,0.432982694
ECA882,DMSO,5,6,NULL
ECA882,IVM,5,6,0.318986569
ECA882,DMSO,7,6,0.449251248
ECA882,IVM,7,6,0.327563825
ECA882,DMSO,1,7,0.450808625
ECA882,IVM,1,7,0.410714286
ECA882,DMSO,3,7,0.462334362
ECA882,IVM,3,7,0.153797064
ECA882,DMSO,5,7,0.257887014
ECA882,IVM,5,7,0.325596817
ECA882,DMSO,7,7,0.339881224
ECA882,IVM,7,7,0.616224649
ECA882,DMSO,1,8,0.443857332
ECA882,IVM,1,8,0.579981291
ECA882,DMSO,3,8,0.553438892
ECA882,IVM,3,8,0.411413969
ECA882,DMSO,5,8,0.543868272
ECA882,IVM,5,8,0.417915106
ECA882,DMSO,7,8,0.73512252
ECA882,IVM,7,8,0.399386738
ECA882,DMSO,1,9,0.474770003
ECA882,IVM,1,9,0.581632653
ECA882,DMSO,3,9,0.489197225
ECA882,IVM,3,9,0.576619533
ECA882,DMSO,5,9,0.512946116
ECA882,IVM,5,9,0.731522426
ECA882,DMSO,7,9,0.385172414
ECA882,IVM,7,9,0.94453822
ECA882,DMSO,1,10,0.391385768
ECA882,IVM,1,10,0.544504722
ECA882,DMSO,3,10,0.460512643
ECA882,IVM,3,10,0.802992519
ECA882,DMSO,5,10,0.359344262
ECA882,IVM,5,10,0.785420099
ECA882,DMSO,7,10,0.259799453
ECA882,IVM,7,10,0.843793391
